User_ID,Timestamp,Subscription_Type,Monthly_Revenue,Watch_Time_Hours,Support_Tickets,Device
86168,2023-01-01 00:00:00,PRO,14.99,6.734278210859209,0,Computer
36177,2023-01-01 01:00:00,basic,14.99,6.542022881821895,1,Mobile
49259,2023-01-01 02:00:00,Pro,9.99,3.948015284691049,0,Computer
62876,2023-01-01 03:00:00,PRO,9.99,6.853776303301565,0,Computer
57197,2023-01-01 04:00:00,Basic,9.99,3.0766726134030664,0,TV
31538,2023-01-01 05:00:00,basic,14.99,4.879105321443545,1,Computer
27535,2023-01-01 06:00:00,Pro,14.99,4.202984202395959,2,TV
42949,2023-01-01 07:00:00,basic,9.99,3.0526259751872873,0,TV
44024,2023-01-01 08:00:00,PRO,14.99,5.973285945769395,1,TV
25387,2023-01-01 09:00:00,Basic,14.99,5.764919589491665,3,Computer
95689,2023-01-01 10:00:00,basic,14.99,6.562314406454501,0,Mobile
63966,2023-01-01 11:00:00,Ultra,9.99,3.124927926279444,1,Computer
57716,2023-01-01 12:00:00,basic,19.99,6.584008482516003,0,Mobile
16424,2023-01-01 13:00:00,PRO,9.99,1.521899401815439,0,Mobile
65363,2023-01-01 14:00:00,PRO,19.99,8.148212552179938,0,Computer
74171,2023-01-01 15:00:00,Ultra,19.99,9.061746307891216,1,Mobile
17275,2023-01-01 16:00:00,Basic,14.99,7.821329470473131,1,Computer
94978,2023-01-01 17:00:00,PRO,14.99,6.332138965573922,1,Computer
74108,2023-01-01 18:00:00,Basic,14.99,5.2167276449045135,0,Mobile
46175,2023-01-01 19:00:00,basic,14.99,6.075311601834944,0,Computer
67918,2023-01-01 20:00:00,Pro,14.99,4.462447480176739,0,TV
82381,2023-01-01 21:00:00,Ultra,14.99,7.608761597038315,0,Computer
50697,2023-01-01 22:00:00,Ultra,14.99,7.136939362426904,0,TV
39657,2023-01-01 23:00:00,Ultra,19.99,7.074036022469516,2,TV
44200,2023-01-02 00:00:00,Ultra,9.99,6.506408887434312,0,Computer
40808,2023-01-02 01:00:00,basic,14.99,2.846203112968701,1,Computer
60726,2023-01-02 02:00:00,Ultra,19.99,5.7784936081095495,0,TV
64942,2023-01-02 03:00:00,Pro,14.99,2.984933932214955,1,TV
28278,2023-01-02 04:00:00,PRO,14.99,4.632933006617458,1,Computer
83544,2023-01-02 05:00:00,basic,14.99,4.896100495451428,0,TV
74373,2023-01-02 06:00:00,basic,9.99,7.214252267352402,0,TV
25066,2023-01-02 07:00:00,Ultra,14.99,6.729554923520613,0,Mobile
42187,2023-01-02 08:00:00,Pro,19.99,2.570149392485989,0,Computer
69728,2023-01-02 09:00:00,Pro,9.99,1.831187084622821,0,Mobile
93125,2023-01-02 10:00:00,Ultra,14.99,4.544138436669643,2,Mobile
93411,2023-01-02 11:00:00,basic,19.99,4.24091743159703,0,Computer
14423,2023-01-02 12:00:00,Pro,19.99,4.818508340956475,0,Mobile
47145,2023-01-02 13:00:00,Ultra,9.99,2.898316084769645,3,Computer
49905,2023-01-02 14:00:00,Basic,9.99,6.7649116077118485,1,Mobile
94122,2023-01-02 15:00:00,Basic,14.99,4.1188076709980965,1,Computer
24996,2023-01-02 16:00:00,Ultra,9.99,7.567007857333481,1,TV
87626,2023-01-02 17:00:00,Ultra,14.99,4.327060101594861,0,Mobile
69145,2023-01-02 18:00:00,PRO,14.99,5.4865459630500695,1,Mobile
30135,2023-01-02 19:00:00,Ultra,19.99,2.918129204885417,0,Mobile
63769,2023-01-02 20:00:00,Ultra,14.99,5.862411773764201,0,Computer
56405,2023-01-02 21:00:00,PRO,9.99,1.8904015501876992,3,TV
97564,2023-01-02 22:00:00,PRO,14.99,3.687803948642378,1,Mobile
48160,2023-01-02 23:00:00,Ultra,19.99,4.6151558103116574,2,TV
80507,2023-01-03 00:00:00,Basic,14.99,1.155172487659784,2,Mobile
90659,2023-01-03 01:00:00,Ultra,9.99,7.620968268817322,0,Mobile
61150,2023-01-03 02:00:00,Basic,9.99,5.7460234849784575,0,Computer
16286,2023-01-03 03:00:00,Ultra,19.99,2.8049476305175727,1,Computer
77400,2023-01-03 04:00:00,Pro,19.99,6.7967102549723,2,Computer
41985,2023-01-03 05:00:00,Pro,19.99,5.623681923837367,3,Computer
50833,2023-01-03 06:00:00,Basic,14.99,5.895005815998834,0,TV
79126,2023-01-03 07:00:00,Pro,19.99,6.376885772592509,1,Computer
44164,2023-01-03 08:00:00,PRO,9.99,2.193691414038788,0,Mobile
10958,2023-01-03 09:00:00,Pro,9.99,6.579451137659714,0,Computer
41742,2023-01-03 10:00:00,Pro,19.99,3.13766548001529,0,Mobile
44112,2023-01-03 11:00:00,Basic,9.99,4.757437638958257,1,TV
22243,2023-01-03 12:00:00,basic,9.99,2.4174273098532817,1,TV
34298,2023-01-03 13:00:00,Basic,19.99,4.57380414546646,1,Computer
89489,2023-01-03 14:00:00,PRO,14.99,7.124499955110987,3,Computer
45623,2023-01-03 15:00:00,Pro,9.99,6.02316724983062,1,TV
55213,2023-01-03 16:00:00,Ultra,19.99,5.8851868260844205,0,Mobile
48201,2023-01-03 17:00:00,Ultra,,8.346563023508132,0,TV
87995,2023-01-03 18:00:00,basic,19.99,5.420764504053353,2,Computer
86689,2023-01-03 19:00:00,Pro,9.99,8.553554402836822,1,TV
53291,2023-01-03 20:00:00,basic,19.99,1.1129002601188356,1,TV
56791,2023-01-03 21:00:00,PRO,14.99,6.071212129020628,1,Computer
